source,title,ship,cruiseLine,region,departurePort,arrivalPort,departureDate,nights,itinerary,priceFrom,currency,cabinType,flightIncluded,escorted,familyScore,luxuryTier,clubRoom,clubRoomLabel,clubRoomNote,status,tags,notes,bookingUrl,affiliateUrl,sourceUrl,lastChecked,autoUpdatedAt,sourceReachable,sourceHttpStatus,sourcePageTitle,sourceFinalUrl,updateNote
ベストワンクルーズ,カーニバルプライド号で行く カリブ海クルーズ 7泊8日 -ボルチモア発(アメリカ)ボルチモア着(アメリカ)-,カーニバルプライド号,カーニバルクルーズ,カリブ海,ボルチモア,ボルチモア,2026-06-28,7,ボルチモア / ナッソー / エルーセラ島,106700,JPY,通常客室目安,false,false,B,スタンダード,false,,,API取得,カリブ海 / カーニバルクルーズ / カジュアル客船,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/CAR/CO__CAR_CARPR_7N_BWI_107873.html,,https://www.best1cruise.com/B/CAR/CO__CAR_CARPR_7N_BWI_107873.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/CAR/CO__CAR_CARPR_7N_BWI_107873.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,ノルウェージャンジェイド号で行く アラスカ氷河クルーズ 7泊8日 -バンクーバー発(カナダ)-,ノルウェージャンジェイド号,ノルウェージャンジェイド,アラスカ,バンクーバー,バンクーバー,2026-06-29,7,バンクーバー / ケチカン / ジュノー / スキャグウェイ / アイシー海峡 / ハバード・グレーシャークルージング,59800,JPY,The Haven級候補,false,false,A,スタンダード,true,The Haven級,NCLのThe Haven相当をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,アラスカ / ノルウェージャンジェイド / カジュアル客船 / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/NCL/CO__NCL_NCLJAD_7N_VAN_106051.html,,https://www.best1cruise.com/B/NCL/CO__NCL_NCLJAD_7N_VAN_106051.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/NCL/CO__NCL_NCLJAD_7N_VAN_106051.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,コスタパシフィカ号で行く 地中海クルーズ 7泊8日 -バレンシア発(スペイン)バレンシア着(スペイン)-,コスタパシフィカ号,コスタクルーズ,地中海,バレンシア,バレンシア,2026-07-01,7,バレンシア / オルビア / チビタベッキア/ローマ / サボナ / パルマデマヨルカ,157140,JPY,通常客室目安,false,false,S,スタンダード,false,,,API取得,地中海 / コスタクルーズ / カジュアル客船,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/COS/CO__COS_COSPA_7N__114303.html,,https://www.best1cruise.com/B/COS/CO__COS_COSPA_7N__114303.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/COS/CO__COS_COSPA_7N__114303.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,コスタファシノーザ号で行く エーゲ海クルーズ 7泊8日 -ピレウス/アテネ発(ギリシャ)ピレウス/アテネ着(ギリシャ)-,コスタファシノーザ号,コスタクルーズ,地中海,ピレウス/アテネ,ピレウス/アテネ,2026-07-01,7,アテネ/ピレウス / バレッタ / カタリナ島 / タラゴナ / アルゴストーリ / ミコノス島,166860,JPY,通常客室目安,false,false,S,スタンダード,false,,,API取得,地中海 / コスタクルーズ / ピレウス(アテネ)発,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/COS/CO__COS_COSFS_7N_PIE_114545.html,,https://www.best1cruise.com/B/COS/CO__COS_COSFS_7N_PIE_114545.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/COS/CO__COS_COSFS_7N_PIE_114545.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,ノルウェージャンジュエル号で行く カリブ海クルーズ 7泊8日 -フィラデルフィア発(アメリカ合衆国)フィラデルフィア着(アメリカ合衆国)-,ノルウェージャンジュエル号,ノルウェージャンジュエル,カリブ海,フィラデルフィア,フィラデルフィア,2026-07-02,7,ナバル造船所 / ハリファックス,49800,JPY,The Haven級候補,false,false,A,スタンダード,true,The Haven級,NCLのThe Haven相当をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,カリブ海 / ノルウェージャンジュエル / カジュアル客船 / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/NCL/CO__NCL_NCLJW_7N__110035.html,,https://www.best1cruise.com/B/NCL/CO__NCL_NCLJW_7N__110035.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/NCL/CO__NCL_NCLJW_7N__110035.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,コスタトスカーナ号で行く 地中海クルーズ 7泊8日 -チビタベッキア/ローマ発(イタリア)チビタベッキア/ローマ着(イタリア)-,コスタトスカーナ号,コスタクルーズ,地中海,ローマ/チビタベッキア,ローマ/チビタベッキア,2026-07-02,7,チビタベッキア/ローマ / ジェノバ / マルセイユ / バルセロナ / カリアリ(サルディニア島) / ナポリ,189540,JPY,通常客室目安,false,false,S,スタンダード,false,,,API取得,地中海 / コスタクルーズ / カジュアル客船,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/COS/CO__COS_COSTO_7N_ROM_111716.html,,https://www.best1cruise.com/B/COS/CO__COS_COSTO_7N_ROM_111716.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/COS/CO__COS_COSTO_7N_ROM_111716.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,セレブリティ・サミット号で行く アラスカ氷河クルーズ 7泊8日 -バンクーバー発(カナダ)スワード着(アメリカ)-,セレブリティ・サミット号,セレブリティ サミット,アラスカ,バンクーバー,バンクーバー,2026-07-03,7,バンクーバー / インサイド・パッセージクルージング / ケチカン / シトカ / ジュノー / アイシー海峡 / ハバード・グレーシャークルージング / スワード,25300,JPY,通常客室目安,false,false,B,スタンダード,false,,,API取得,アラスカ / セレブリティ サミット / プレミアム客船,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/CEL/CO__CEL_CELSM_7N_VAN_90154.html,,https://www.best1cruise.com/B/CEL/CO__CEL_CELSM_7N_VAN_90154.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/CEL/CO__CEL_CELSM_7N_VAN_90154.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,オベーション・オブ・ザ・シーズ号で行く アラスカ氷河クルーズ 7泊8日 -スワード発(アメリカ)バンクーバー着(カナダ)-,オベーション・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,アラスカ,スワード,スワード,2026-07-03,7,スワード / ハバード・グレーシャークルージング / ジュノー / スキャグウェイ / アイシー海峡 / バンクーバー,30000,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,アラスカ / ロイヤルカリビアンクルーズ / スワード発(アンカレッジ/アメリカ) / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCIOV_7N_SWD_90822.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCIOV_7N_SWD_90822.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCIOV_7N_SWD_90822.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,クァンタム・オブ・ザ・シーズ号で行く メキシコクルーズ 7泊8日 -ロサンゼルス発(アメリカ)ロサンゼルス着(アメリカ)-,クァンタム・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,その他,ロサンゼルス,ロサンゼルス,2026-07-03,7,ロサンゼルス / カボサンルーカス / エンセナダ,34100,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,その他 / ロイヤルカリビアンクルーズ / ロイヤルカリビアンクルーズ / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCIQU_7N_LAX_94632.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCIQU_7N_LAX_94632.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCIQU_7N_LAX_94632.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
ベストワンクルーズ,ナビゲーター・オブ・ザ・シーズ号で行く メキシコクルーズ 7泊8日 -ロサンゼルス発(アメリカ)ロサンゼルス着(アメリカ)-,ナビゲーター・オブ・ザ・シーズ号,ロイヤルカリビアンクルーズ,その他,ロサンゼルス,ロサンゼルス,2026-07-03,7,ロサンゼルス / カボサンルーカス / マサトラン / プエルトバヤルタ,40100,JPY,Royal Suite Class級候補,false,false,S,スタンダード,true,Royal Suite Class級,ロイヤル・カリビアンのスイート特典対象をクラブルーム級として扱います。対象客室・特典は販売会社で確認してください。,API取得,その他 / ロイヤルカリビアンクルーズ / ロイヤルカリビアンクルーズ / クラブルーム級,ベストワンクルーズの一覧APIから取得。料金・空席・寄港地・客室条件は詳細ページで最終確認。,https://www.best1cruise.com/B/RCI/CO__RCI_RCINV_7N_LAX_94642.html,,https://www.best1cruise.com/B/RCI/CO__RCI_RCINV_7N_LAX_94642.html,2026-06-30,2026-06-30T01:44:32.611Z,true,200,ベストワンクルーズ一覧API,https://www.best1cruise.com/B/RCI/CO__RCI_RCINV_7N_LAX_94642.html,自動取得: ベストワンクルーズ一覧APIから取得。価格・空席・日程は予約ページで最終確認。
